,sentence_good,sentence_bad,one_prefix_prefix,one_prefix_word_good,one_prefix_word_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pairID,target,target_phrase
17,Florence had left herself.,Florence had left themselves.,Florence had left,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,17,NA,NA
18,The Borgias scare themselves.,The Borgias scare himself.,The Borgias scare,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,18,NA,NA
19,The adults hadn't forgotten themselves.,The adults hadn't forgotten himself.,The adults hadn't forgotten,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,19,NA,NA
20,The patients disgusted themselves.,The patients disgusted himself.,The patients disgusted,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,20,NA,NA
21,Thomas complained about himself.,Thomas complained about themselves.,Thomas complained about,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,21,NA,NA
22,Randolf knew himself.,Randolf knew themselves.,Randolf knew,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,22,NA,NA
23,The students shouldn't upset themselves.,The students shouldn't upset herself.,The students shouldn't upset,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,23,NA,NA
24,All waiters couldn't criticize themselves.,All waiters couldn't criticize himself.,All waiters couldn't criticize,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,24,NA,NA
25,Ronald can't reference himself.,Ronald can't reference themselves.,Ronald can't reference,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,25,NA,NA
26,Julie hadn't revealed herself.,Julie hadn't revealed themselves.,Julie hadn't revealed,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,26,NA,NA
27,Many people bothered themselves.,Many people bothered itself.,Many people bothered,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,27,NA,NA
28,Most girls annoyed themselves.,Most girls annoyed himself.,Most girls annoyed,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,28,NA,NA
29,Most ladies weren't arguing about themselves.,Most ladies weren't arguing about herself.,Most ladies weren't arguing about,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,29,NA,NA
30,The waitresses investigated themselves.,The waitresses investigated itself.,The waitresses investigated,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,30,NA,NA
31,Peter won't fire himself.,Peter won't fire themselves.,Peter won't fire,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,31,NA,NA
32,Those waitresses had loved themselves.,Those waitresses had loved herself.,Those waitresses had loved,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,32,NA,NA
33,Cheryl isn't insulting herself.,Cheryl isn't insulting themselves.,Cheryl isn't insulting,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,33,NA,NA
34,Joseph isn't revealing himself.,Joseph isn't revealing themselves.,Joseph isn't revealing,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,34,NA,NA
35,Most universities aren't scaring themselves.,Most universities aren't scaring herself.,Most universities aren't scaring,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,35,NA,NA
36,Natalie hadn't fired herself.,Natalie hadn't fired themselves.,Natalie hadn't fired,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,36,NA,NA
37,Donald had worked with himself.,Donald had worked with themselves.,Donald had worked with,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,37,NA,NA
38,Kirsten hasn't admired herself.,Kirsten hasn't admired themselves.,Kirsten hasn't admired,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,38,NA,NA
39,Patricia hadn't hated herself.,Patricia hadn't hated themselves.,Patricia hadn't hated,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,39,NA,NA
40,Most reports disagreed with themselves.,Most reports disagreed with herself.,Most reports disagreed with,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,40,NA,NA
41,Dawn could worry herself.,Dawn could worry themselves.,Dawn could worry,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,41,NA,NA
42,Randolf might approach himself.,Randolf might approach themselves.,Randolf might approach,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,42,NA,NA
43,Stacy didn't remember herself.,Stacy didn't remember themselves.,Stacy didn't remember,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,43,NA,NA
44,Richard returned to himself.,Richard returned to themselves.,Richard returned to,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,44,NA,NA
45,All boys listen to themselves.,All boys listen to herself.,All boys listen to,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,45,NA,NA
46,Bruce hadn't discovered himself.,Bruce hadn't discovered themselves.,Bruce hadn't discovered,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,46,NA,NA
47,Many teenagers hadn't found themselves.,Many teenagers hadn't found itself.,Many teenagers hadn't found,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,47,NA,NA
48,Daniel does hate himself.,Daniel does hate themselves.,Daniel does hate,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,48,NA,NA
49,Most adults have discovered themselves.,Most adults have discovered itself.,Most adults have discovered,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,49,NA,NA
50,Some men could notice themselves.,Some men could notice himself.,Some men could notice,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,50,NA,NA
51,These museums should insult themselves.,These museums should insult itself.,These museums should insult,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,51,NA,NA
52,All actresses flee from themselves.,All actresses flee from herself.,All actresses flee from,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,52,NA,NA
53,Carol couldn't criticize herself.,Carol couldn't criticize themselves.,Carol couldn't criticize,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,53,NA,NA
54,All girls haven't discussed themselves.,All girls haven't discussed himself.,All girls haven't discussed,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,54,NA,NA
55,All senators complained about themselves.,All senators complained about himself.,All senators complained about,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,55,NA,NA
56,Some actors shock themselves.,Some actors shock herself.,Some actors shock,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,56,NA,NA
57,Jane aggravated herself.,Jane aggravated themselves.,Jane aggravated,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,57,NA,NA
58,Becca praised herself.,Becca praised themselves.,Becca praised,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,58,NA,NA
59,Those students don't confuse themselves.,Those students don't confuse himself.,Those students don't confuse,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,59,NA,NA
60,Jodi left herself.,Jodi left themselves.,Jodi left,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,60,NA,NA
61,The students have thought about themselves.,The students have thought about itself.,The students have thought about,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,61,NA,NA
62,A lot of customers weren't returning to themselves.,A lot of customers weren't returning to herself.,A lot of customers weren't returning to,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,62,NA,NA
63,Those customers praise themselves.,Those customers praise herself.,Those customers praise,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,63,NA,NA
64,David stunned himself.,David stunned themselves.,David stunned,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,64,NA,NA
65,Beverly disturbed herself.,Beverly disturbed themselves.,Beverly disturbed,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,65,NA,NA
66,Thomas was hurting himself.,Thomas was hurting themselves.,Thomas was hurting,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,66,NA,NA
67,Lori attacked herself.,Lori attacked themselves.,Lori attacked,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,67,NA,NA
68,Joel escaped from himself.,Joel escaped from themselves.,Joel escaped from,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,68,NA,NA
69,The woman had worried herself.,The woman had worried themselves.,The woman had worried,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,69,NA,NA
70,Kayla scared herself.,Kayla scared themselves.,Kayla scared,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,70,NA,NA
71,Samuel didn't kiss himself.,Samuel didn't kiss themselves.,Samuel didn't kiss,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,71,NA,NA
72,This government alarms itself.,This government alarms themselves.,This government alarms,itself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,72,NA,NA
73,Kristin left herself.,Kristin left themselves.,Kristin left,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,73,NA,NA
74,An association annoys itself.,An association annoys themselves.,An association annoys,itself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,74,NA,NA
75,Many actors thought about themselves.,Many actors thought about itself.,Many actors thought about,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,75,NA,NA
76,Teresa has scared herself.,Teresa has scared themselves.,Teresa has scared,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,76,NA,NA
77,Russell hadn't complained about himself.,Russell hadn't complained about themselves.,Russell hadn't complained about,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,77,NA,NA
78,All cashiers liked themselves.,All cashiers liked itself.,All cashiers liked,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,78,NA,NA
79,Kendra doesn't shock herself.,Kendra doesn't shock themselves.,Kendra doesn't shock,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,79,NA,NA
80,Jason hasn't stunned himself.,Jason hasn't stunned themselves.,Jason hasn't stunned,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,80,NA,NA
81,Children did conceal themselves.,Children did conceal itself.,Children did conceal,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,81,NA,NA
82,Cheryl did worry herself.,Cheryl did worry themselves.,Cheryl did worry,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,82,NA,NA
83,Colleen can't impress herself.,Colleen can't impress themselves.,Colleen can't impress,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,83,NA,NA
84,Kendra wasn't thinking about herself.,Kendra wasn't thinking about themselves.,Kendra wasn't thinking about,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,84,NA,NA
85,The guests respect themselves.,The guests respect herself.,The guests respect,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,85,NA,NA
86,Kenneth was confusing himself.,Kenneth was confusing themselves.,Kenneth was confusing,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,86,NA,NA
87,Some children flee from themselves.,Some children flee from itself.,Some children flee from,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,87,NA,NA
88,This organization hadn't aggravated itself.,This organization hadn't aggravated themselves.,This organization hadn't aggravated,itself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,88,NA,NA
89,Michael can't disturb himself.,Michael can't disturb themselves.,Michael can't disturb,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,89,NA,NA
90,Many universities disgust themselves.,Many universities disgust herself.,Many universities disgust,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,90,NA,NA
91,Some museums annoy themselves.,Some museums annoy herself.,Some museums annoy,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,91,NA,NA
92,All waiters cured themselves.,All waiters cured himself.,All waiters cured,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,92,NA,NA
93,The teenagers shouldn't bore themselves.,The teenagers shouldn't bore himself.,The teenagers shouldn't bore,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,93,NA,NA
94,All cashiers hurt themselves.,All cashiers hurt himself.,All cashiers hurt,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,94,NA,NA
95,The Clintons admired themselves.,The Clintons admired himself.,The Clintons admired,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,95,NA,NA
96,Cynthia wasn't escaping from herself.,Cynthia wasn't escaping from themselves.,Cynthia wasn't escaping from,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,96,NA,NA
97,Many banks haven't aggravated themselves.,Many banks haven't aggravated herself.,Many banks haven't aggravated,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,97,NA,NA
98,All organizations have confused themselves.,All organizations have confused herself.,All organizations have confused,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,98,NA,NA
99,Steven talked about himself.,Steven talked about themselves.,Steven talked about,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,99,NA,NA
100,Most men fled from themselves.,Most men fled from itself.,Most men fled from,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,100,NA,NA
101,Patrick had cared for himself.,Patrick had cared for themselves.,Patrick had cared for,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,101,NA,NA
102,James can kiss himself.,James can kiss themselves.,James can kiss,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,102,NA,NA
103,Most dancers shouldn't reveal themselves.,Most dancers shouldn't reveal herself.,Most dancers shouldn't reveal,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,103,NA,NA
104,All waitresses conceal themselves.,All waitresses conceal herself.,All waitresses conceal,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,104,NA,NA
105,Some girls weren't complaining about themselves.,Some girls weren't complaining about itself.,Some girls weren't complaining about,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,105,NA,NA
106,Andrew hugged himself.,Andrew hugged themselves.,Andrew hugged,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,106,NA,NA
107,These guys are aggravating themselves.,These guys are aggravating himself.,These guys are aggravating,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,107,NA,NA
108,Those teachers are praising themselves.,Those teachers are praising herself.,Those teachers are praising,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,108,NA,NA
109,A lot of actresses visit themselves.,A lot of actresses visit herself.,A lot of actresses visit,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,109,NA,NA
110,Carlos attacked himself.,Carlos attacked themselves.,Carlos attacked,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,110,NA,NA
111,Marla might visit herself.,Marla might visit themselves.,Marla might visit,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,111,NA,NA
112,The guests know themselves.,The guests know itself.,The guests know,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,112,NA,NA
113,Most men hadn't embarrassed themselves.,Most men hadn't embarrassed itself.,Most men hadn't embarrassed,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,113,NA,NA
114,Jane hasn't escaped from herself.,Jane hasn't escaped from themselves.,Jane hasn't escaped from,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,114,NA,NA
115,All boys are shocking themselves.,All boys are shocking herself.,All boys are shocking,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,115,NA,NA
116,Craig hasn't insulted himself.,Craig hasn't insulted themselves.,Craig hasn't insulted,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,116,NA,NA
117,A lot of ladies impressed themselves.,A lot of ladies impressed itself.,A lot of ladies impressed,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,117,NA,NA
118,Some school distracts itself.,Some school distracts themselves.,Some school distracts,itself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,118,NA,NA
119,All girls scared themselves.,All girls scared himself.,All girls scared,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,119,NA,NA
120,Homer had worried himself.,Homer had worried themselves.,Homer had worried,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,120,NA,NA
121,All men had concealed themselves.,All men had concealed herself.,All men had concealed,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,121,NA,NA
122,These pedestrians upset themselves.,These pedestrians upset itself.,These pedestrians upset,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,122,NA,NA
123,These companies wouldn't aggravate themselves.,These companies wouldn't aggravate itself.,These companies wouldn't aggravate,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,123,NA,NA
124,Many people hired themselves.,Many people hired herself.,Many people hired,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,124,NA,NA
125,The man won't hate himself.,The man won't hate themselves.,The man won't hate,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,125,NA,NA
126,Guy is questioning himself.,Guy is questioning themselves.,Guy is questioning,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,126,NA,NA
127,These doctors help themselves.,These doctors help herself.,These doctors help,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,127,NA,NA
128,The teachers are talking to themselves.,The teachers are talking to itself.,The teachers are talking to,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,128,NA,NA
129,Alicia admired herself.,Alicia admired themselves.,Alicia admired,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,129,NA,NA
130,Edward worked with himself.,Edward worked with themselves.,Edward worked with,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,130,NA,NA
131,The men couldn't disagree with themselves.,The men couldn't disagree with herself.,The men couldn't disagree with,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,131,NA,NA
132,The dancers flee from themselves.,The dancers flee from himself.,The dancers flee from,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,132,NA,NA
133,Valerie hasn't thought about herself.,Valerie hasn't thought about themselves.,Valerie hasn't thought about,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,133,NA,NA
134,The universities are astounding themselves.,The universities are astounding himself.,The universities are astounding,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,134,NA,NA
135,These cashiers had concealed themselves.,These cashiers had concealed himself.,These cashiers had concealed,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,135,NA,NA
136,Michelle was embarrassing herself.,Michelle was embarrassing themselves.,Michelle was embarrassing,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,136,NA,NA
137,Omar is concealing himself.,Omar is concealing themselves.,Omar is concealing,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,137,NA,NA
138,Most teachers hurt themselves.,Most teachers hurt herself.,Most teachers hurt,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,138,NA,NA
139,Roger shouldn't conceal himself.,Roger shouldn't conceal themselves.,Roger shouldn't conceal,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,139,NA,NA
140,Alicia hasn't embarrassed herself.,Alicia hasn't embarrassed themselves.,Alicia hasn't embarrassed,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,140,NA,NA
141,James is visiting himself.,James is visiting themselves.,James is visiting,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,141,NA,NA
142,The patients shocked themselves.,The patients shocked itself.,The patients shocked,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,142,NA,NA
143,Many girls escaped from themselves.,Many girls escaped from herself.,Many girls escaped from,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,143,NA,NA
144,Amelia visited herself.,Amelia visited themselves.,Amelia visited,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,144,NA,NA
145,Most committees were irritating themselves.,Most committees were irritating herself.,Most committees were irritating,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,145,NA,NA
146,These girls kissed themselves.,These girls kissed herself.,These girls kissed,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,146,NA,NA
147,The dancers hug themselves.,The dancers hug herself.,The dancers hug,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,147,NA,NA
148,Keith hadn't upset himself.,Keith hadn't upset themselves.,Keith hadn't upset,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,148,NA,NA
149,These senators scared themselves.,These senators scared herself.,These senators scared,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,149,NA,NA
150,Janice approached herself.,Janice approached themselves.,Janice approached,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,150,NA,NA
151,All customers hide themselves.,All customers hide itself.,All customers hide,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,151,NA,NA
152,Cynthia was appreciating herself.,Cynthia was appreciating themselves.,Cynthia was appreciating,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,152,NA,NA
153,Lissa thought about herself.,Lissa thought about themselves.,Lissa thought about,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,153,NA,NA
154,The bank shocks itself.,The bank shocks themselves.,The bank shocks,itself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,154,NA,NA
155,Bruce has alarmed himself.,Bruce has alarmed themselves.,Bruce has alarmed,himself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,155,NA,NA
156,Helen shouldn't conceal herself.,Helen shouldn't conceal themselves.,Helen shouldn't conceal,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,156,NA,NA
157,A lot of students won't fire themselves.,A lot of students won't fire herself.,A lot of students won't fire,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,157,NA,NA
158,Waitresses aren't upsetting themselves.,Waitresses aren't upsetting himself.,Waitresses aren't upsetting,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,158,NA,NA
159,The Lutherans can help themselves.,The Lutherans can help herself.,The Lutherans can help,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,159,NA,NA
160,Most women haven't hidden themselves.,Most women haven't hidden itself.,Most women haven't hidden,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,160,NA,NA
161,Valerie shouldn't shock herself.,Valerie shouldn't shock themselves.,Valerie shouldn't shock,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,161,NA,NA
162,Those doctors hadn't loved themselves.,Those doctors hadn't loved himself.,Those doctors hadn't loved,themselves,himself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,162,NA,NA
163,A lot of patients have worked with themselves.,A lot of patients have worked with herself.,A lot of patients have worked with,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,163,NA,NA
164,Diane hadn't seen herself.,Diane hadn't seen themselves.,Diane hadn't seen,herself,themselves,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,164,NA,NA
165,All banks scared themselves.,All banks scared herself.,All banks scared,themselves,herself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,165,NA,NA
166,The waitresses argue about themselves.,The waitresses argue about itself.,The waitresses argue about,themselves,itself,morphology,anaphor_agreement,anaphor_number_agreement,True,True,False,True,166,NA,NA
